stdevFWHM,stdevFeFv,group,vessel_type,filename
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.117077457674547,0.693453315669384,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.237809765813927,0.0774737434037191,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.0681045870791707,0.0607961786601027,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.351872055162477,0.132324866950145,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.714641933938432,0.461483562142765,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.228725240263043,0.105031717892506,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.424058086763837,0.191333060156782,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.168920588948671,0.0790928064633628,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.0431751687609491,0.188215221842263,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.539712666414703,0.0922171065391252,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.378988796940061,0.149036559590814,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.0536476368530669,0.0987655943480968,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.0658331774686653,0.173623976962752,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.0939714525676864,0.158425913051331,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.0482426229510964,0.14374217703465,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.0822746538217029,0.116441061306649,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.223588890627363,0.126546272411195,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
0.193164479398908,0.105895819501416,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.0933792017347255,0.0645559892524437,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.444187394243189,0.116282060597844,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.0568112952655656,0.117854043445706,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
0.185226438115477,0.037025162658897,A,capillary,ZT10_16X6x_gg_800nm_m10_roi1_00001_ROIs_classA
0.117225204538295,0.134272645341078,A,capillary,ZT10_16X6x_gg_800nm_m11_roi1_00001_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA
,,A,capillary,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA
0.025444933038853,0.153540555914542,A,capillary,ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA
